industry_code,industry_text
N2111__,Oil and gas extraction
N211___,Oil and gas extraction
N21211_,Coal mining
N2121__,Coal mining
N2122__,Metal ore mining
N21231_,Stone Mining and Quarrying
N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
N21239_,Other Nonmetallic Mineral Mining and Quarrying
N2123__,Nonmetallic mineral mining and quarrying
N212___,Mining (except oil and gas)
N21311_,Support activities for mining
N2131__,Support activities for mining
N213___,Support activities for mining
N21____,Mining
N2211__,"Electric power generation, transmission and distribution"
N221210,Natural gas distribution
N22121_,Natural gas distribution
N2212__,Natural gas distribution
N2213__,"Water, sewage and other systems"
N221___,Utilities
N22____,Utilities
N31111_,Animal food manufacturing
N3111__,Animal food manufacturing
N3112__,Grain and oilseed milling
N3113__,Sugar and confectionery product manufacturing
N31141_,Frozen food manufacturing
N31142_,"Fruit and vegetable canning, pickling, and drying"
N3114__,Fruit and vegetable preserving and specialty food manufacturing
N3115__,Dairy product manufacturing
N311611,Animal (except poultry) slaughtering
N311615,Poultry processing
N31161_,Animal slaughtering and processing
N3116__,Animal slaughtering and processing
N311710,Seafood product preparation and packaging
N31171_,Seafood product preparation and packaging
N3117__,Seafood product preparation and packaging
N311811,Retail bakeries
N31181_,Bread and bakery product manufacturing
N3118__,Bakeries and tortilla manufacturing
N3119__,Other food manufacturing
N311___,Food manufacturing
N3121__,Beverage manufacturing
N312230,Tobacco manufacturing
N31223_,Tobacco manufacturing
N3122__,Tobacco manufacturing
N312___,Beverage and tobacco product manufacturing
N313110,"Fiber, yarn, and thread mills"
N31311_,"Fiber, yarn, and thread mills"
N3131__,"Fiber, yarn, and thread mills"
N3132__,Fabric mills
N3133__,Textile and fabric finishing and fabric coating mills
N313___,Textile mills
N3141__,Textile furnishings mills
N3149__,Other textile product mills
N314___,Textile product mills
N3151__,Apparel knitting mills
N3152__,Cut and sew apparel manufacturing
N315990,Apparel accessories and other apparel manufacturing
N31599_,Apparel accessories and other apparel manufacturing
N3159__,Apparel accessories and other apparel manufacturing
N315___,Apparel manufacturing
N316110,Leather and hide tanning and finishing
N31611_,Leather and hide tanning and finishing
N3161__,Leather and hide tanning and finishing
N316210,Footwear manufacturing
N31621_,Footwear manufacturing
N3162__,Footwear manufacturing
N31699_,Other leather and allied product manufacturing
N3169__,Other leather and allied product manufacturing
N316___,Leather and allied product manufacturing
N32111_,Sawmills and wood preservation
N3211__,Sawmills and wood preservation
N32121_,"Veneer, plywood, and engineered wood product manufacturing"
N3212__,"Veneer, plywood, and engineered wood product manufacturing"
N321911,Wood windows and doors
N32191_,Millwork
N321920,Wood container and pallet manufacturing
N32192_,Wood container and pallet manufacturing
N32199_,All other wood product manufacturing
N3219__,Other wood product manufacturing
N321___,Wood product manufacturing
N3221__,"Pulp, paper, and paperboard mills"
N322211,Corrugated and solid fiber boxes
N32221_,Paperboard container manufacturing
N3222__,Converted paper product manufacturing
N322___,Paper manufacturing
N3231__,Printing and related support activities
N323___,Printing and related support activities
N324110,Petroleum refineries
N32411_,Petroleum refineries
N3241__,Petroleum and coal products manufacturing
N324___,Petroleum and coal products manufacturing
N3251__,Basic chemical manufacturing
N3252__,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing"
N3253__,"Pesticide, fertilizer, and other agricultural chemical manufacturing"
N32541_,Pharmaceutical and medicine manufacturing
N3254__,Pharmaceutical and medicine manufacturing
N3255__,"Paint, coating, and adhesive manufacturing"
N3256__,"Soap, cleaning compound, and toilet preparation manufacturing"
N3259__,Other chemical product and preparation manufacturing
N325___,Chemical manufacturing
N32611_,Plastics packaging materials and unlaminated film and sheet manufacturing
N32612_,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing"
N32619_,Other plastics product manufacturing
N3261__,Plastics product manufacturing
N3262__,Rubber product manufacturing
N326___,Plastics and rubber products manufacturing
N3271__,Clay product and refractory manufacturing
N32721_,Glass and glass product manufacturing
N3272__,Glass and glass product manufacturing
N327320,Ready-mix concrete manufacturing
N32732_,Ready-mix concrete manufacturing
N3273__,Cement and concrete product manufacturing
N3274__,Lime and gypsum product manufacturing
N3279__,Other nonmetallic mineral product manufacturing
N327___,Nonmetallic mineral product manufacturing
N331110,Iron and steel mills and ferroalloy production
N33111_,Iron and steel mills and ferroalloy production
N3311__,Iron and steel mills and ferroalloy production
N3312__,Steel product manufacturing from purchased steel
N33131_,Alumina and aluminum production and processing
N3313__,Alumina and aluminum production and processing
N3314__,Nonferrous metal (except aluminum) production and processing
N3315__,Foundries
N331___,Primary metal manufacturing
N33211_,Forging and stamping
N3321__,Forging and stamping
N33221_,Cutlery and handtool manufacturing
N3322__,Cutlery and handtool manufacturing
N332312,Fabricated structural metals
N33231_,Plate work and fabricated structural product manufacturing
N332322,Sheet metal work
N33232_,Ornamental and architectural metal products manufacturing
N3323__,Architectural and structural metals manufacturing
N3324__,"Boiler, tank, and shipping container manufacturing"
N332510,Hardware manufacturing
N33251_,Hardware manufacturing
N3325__,Hardware manufacturing
N33261_,Spring and wire product manufacturing
N3326__,Spring and wire product manufacturing
N332710,Machine shops
N33271_,Machine shops
N33272_,"Turned product and screw, nut, and bolt manufacturing"
N3327__,"Machine shops; turned product; and screw, nut, and bolt manufacturing"
N332813,"Electroplating, plating, polishing, anodizing and coloring"
N33281_,"Coating, engraving, heat treating, and allied activities"
N3328__,"Coating, engraving, heat treating, and allied activities"
N33291_,Metal valve manufacturing
N33299_,All other fabricated metal product manufacturing
N3329__,Other fabricated metal product manufacturing
N332___,Fabricated metal product manufacturing
N3331__,"Agriculture, construction, and mining machinery"
N33324_,Industrial machinery
N3332__,Industrial machinery
N33331_,Commercial and service industry machinery
N3333__,Commercial and service industry machinery
N33341_,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing"
N3334__,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing"
N333514,"Special die and tool, die set, jig, and fixture manufacturing"
N333517,Machine tool manufacturing
N33351_,Metalworking machinery manufacturing
N3335__,Metalworking machinery manufacturing
N33361_,"Engine, turbine, and power transmission equipment manufacturing"
N3336__,"Engine, turbine, and power transmission equipment manufacturing"
N33391_,Pump and compressor manufacturing
N33392_,Material handling equipment manufacturing
N33399_,All other general purpose machinery manufacturing
N3339__,Other general purpose machinery manufacturing
N333___,Machinery manufacturing
N33411_,Computer and peripheral equipment manufacturing
N3341__,Computer and peripheral equipment manufacturing
N3342__,Communications equipment manufacturing
N334310,Audio and video equipment manufacturing
N33431_,Audio and video equipment manufacturing
N3343__,Audio and video equipment manufacturing
N334413,Semiconductor and related device manufacturing
N33441_,Semiconductor and other electronic component manufacturing
N3344__,Semiconductor and other electronic component manufacturing
N334513,Industrial process variable instruments
N33451_,"Navigational, measuring, electromedical, and control instruments manufacturing"
N3345__,"Navigational, measuring, electromedical, and control instruments manufacturing"
N33461_,Manufacturing and reproducing magnetic and optical media
N3346__,Manufacturing and reproducing magnetic and optical media
N334___,Computer and electronic product manufacturing
N3351__,Electric lighting equipment manufacturing
N3352__,Household appliance manufacturing
N33531_,Electrical equipment manufacturing
N3353__,Electrical equipment manufacturing
N3359__,Other electrical equipment and component manufacturing
N335___,"Electrical equipment, appliance, and component manufacturing"
N3361__,Motor vehicle manufacturing
N336211,Motor vehicle body manufacturing
N33621_,Motor vehicle body and trailer manufacturing
N3362__,Motor vehicle body and trailer manufacturing
N336310,Motor vehicle gasoline engines and engine parts
N33631_,Motor vehicle gasoline engines and engine parts
N336320,Motor vehicle electrical and electronic equipment
N33632_,Motor vehicle electrical and electronic equipment
N336350,Motor vehicle transmission and power train parts manufacturing
N33635_,Motor vehicle transmission and power train parts manufacturing
N336370,Motor vehicle metal stamping
N33637_,Motor vehicle metal stamping
N3363__,Motor vehicle parts manufacturing
N336411,Aircraft manufacturing
N33641_,Aerospace product and parts manufacturing
N3364__,Aerospace product and parts manufacturing
N336510,Railroad rolling stock manufacturing
N33651_,Railroad rolling stock manufacturing
N3365__,Railroad rolling stock manufacturing
N33661_,Ship and boat building
N3366__,Ship and boat building
N33699_,Other transportation equipment manufacturing
N3369__,Other transportation equipment manufacturing
N336___,Transportation equipment manufacturing
N337110,Wood kitchen cabinet and countertop manufacturing
N33711_,Wood kitchen cabinet and countertop manufacturing
N337121,Upholstered household furniture manufacturing
N337122,Nonupholstered wood household furniture manufacturing
N33712_,Household and institutional furniture manufacturing
N3371__,Household and institutional furniture and kitchen cabinet manufacturing
N33721_,Office furniture (including fixtures) manufacturing
N3372__,Office furniture (including fixtures) manufacturing
N3379__,Other furniture related product manufacturing
N337___,Furniture and related product manufacturing
N339113,Surgical appliance and supplies manufacturing
N339116,Dental laboratories
N33911_,Medical equipment and supplies manufacturing
N3391__,Medical equipment and supplies manufacturing
N339950,Sign manufacturing
N33995_,Sign manufacturing
N3399__,Other miscellaneous manufacturing
N339___,Miscellaneous manufacturing
N4231__,Motor vehicle and motor vehicle parts and supplies merchant wholesalers
N4232__,Furniture and home furnishing merchant wholesalers
N4233__,Lumber and other construction materials merchant wholesalers
N4234__,Professional and commercial equipment and supplies merchant wholesalers
N4235__,Metal and mineral (except petroleum) merchant wholesalers
N4236__,Electrical and electronic goods merchant wholesalers
N4237__,"Hardware, and plumbing and heating equipment and supplies merchant wholesalers"
N4238__,"Machinery, equipment, and supplies merchant wholesalers"
N4239__,Miscellaneous durable goods merchant wholesalers
N423___,"Merchant wholesalers, durable goods"
N4241__,Paper and paper product merchant wholesalers
N424210,Drugs and druggists' sundries merchant wholesalers
N42421_,Drugs and druggists' sundries merchant wholesalers
N4242__,Drugs and druggists' sundries merchant wholesalers
N4243__,"Apparel, piece goods, and notions merchant wholesalers"
N4244__,Grocery and related product wholesalers
N4245__,Farm product raw material merchant wholesalers
N4246__,Chemical and allied products merchant wholesalers
N4247__,Petroleum and petroleum products merchant wholesalers
N4248__,"Beer, wine, and distilled alcoholic beverage merchant wholesalers"
N4249__,Miscellaneous nondurable goods merchant wholesalers
N424___,"Merchant wholesalers, nondurable goods"
N4251__,Wholesale electronic markets and agents and brokers
N425___,Wholesale electronic markets and agents and brokers
N42____,Wholesale trade
N441110,New car dealers
N44111_,New car dealers
N441120,Used car dealers
N44112_,Used car dealers
N4411__,Automobile dealers
N4412__,Other motor vehicle dealers
N441310,Automotive parts and accessories stores
N44131_,Automotive parts and accessories stores
N441320,Tire dealers
N44132_,Tire dealers
N4413__,"Automotive parts, accessories, and tire stores"
N441___,Motor vehicle and parts dealers
N442110,Furniture stores
N44211_,Furniture stores
N4421__,Furniture stores
N442210,Floor covering stores
N44221_,Floor covering stores
N44229_,Other home furnishings stores
N4422__,Home furnishings stores
N442___,Furniture and home furnishings stores
N443141,Household appliance stores
N443142,Electronics stores
N44314_,Electronics and appliance stores
N4431__,Electronics and appliance stores
N443___,Electronics and appliance stores
N444110,Home centers
N44411_,Home centers
N444130,Hardware stores
N44413_,Hardware stores
N4441__,Building material and supplies dealers
N444210,Outdoor power equipment stores
N44421_,Outdoor power equipment stores
N444220,"Nursery, garden center, and farm supply stores"
N44422_,"Nursery, garden center, and farm supply stores"
N4442__,Lawn and garden equipment and supplies stores
N444___,Building material and garden equipment and supplies dealers
N445110,Supermarkets and other grocery (except convenience) stores
N44511_,Supermarkets and other grocery (except convenience) stores
N445120,Convenience stores
N44512_,Convenience stores
N4451__,Grocery stores
N4452__,Specialty food stores
N445310,"Beer, wine, and liquor stores"
N44531_,"Beer, wine, and liquor stores"
N4453__,"Beer, wine, and liquor stores"
N445___,Food and beverage stores
N446110,Pharmacies and drug stores
N44611_,Pharmacies and drug stores
N446120,"Cosmetics, beauty supplies, and perfume stores"
N44612_,"Cosmetics, beauty supplies, and perfume stores"
N446130,Optical goods stores
N44613_,Optical goods stores
N44619_,Other health and personal care stores
N4461__,Health and personal care stores
N446___,Health and personal care stores
N447110,Gasoline stations with convenience stores
N44711_,Gasoline stations with convenience stores
N447190,Other gasoline stations
N44719_,Other gasoline stations
N4471__,Gasoline stations
N447___,Gasoline stations
N448110,Men's clothing stores
N44811_,Men's clothing stores
N448120,Women's clothing stores
N44812_,Women's clothing stores
N448140,Family clothing stores
N44814_,Family clothing stores
N448150,Clothing accessories stores
N44815_,Clothing accessories stores
N4481__,Clothing stores
N448210,Shoe stores
N44821_,Shoe stores
N4482__,Shoe stores
N4483__,"Jewelry, luggage, and leather goods stores"
N448___,Clothing and clothing accessories stores
N44_45_,Retail trade
N451110,Sporting goods stores
N45111_,Sporting goods stores
N451120,"Hobby, toy, and game stores"
N45112_,"Hobby, toy, and game stores"
N4511__,"Sporting goods, hobby, and musical instrument stores"
N45121_,Book stores and news dealers
N4512__,Book stores and news dealers
N451___,"Sporting goods, hobby, book, and music stores"
N452210,Department stores
N45221_,Department stores
N4522__,Department stores
N45231_,"General merchandise stores, including warehouse clubs and supercenters"
N4523__,"General merchandise stores, including warehouse clubs and supercenters"
N452___,General merchandise stores
N453110,Florists
N45311_,Florists
N4531__,Florists
N453210,Office supplies and stationery stores
N45321_,Office supplies and stationery stores
N453220,"Gift, novelty, and souvenir stores"
N45322_,"Gift, novelty, and souvenir stores"
N4532__,"Office supplies, stationery, and gift stores"
N453310,Used merchandise stores
N45331_,Used merchandise stores
N4533__,Used merchandise stores
N453910,Pet and pet supplies stores
N45391_,Pet and pet supplies stores
N4539__,Other miscellaneous store retailers
N453___,Miscellaneous store retailers
N45411_,Electronic shopping and mail-order houses
N4541__,Electronic shopping and mail-order houses
N454210,Vending machine operators
N45421_,Vending machine operators
N4542__,Vending machine operators
N454310,Fuel dealers
N45431_,Fuel dealers
N454390,Other direct selling establishments
N45439_,Other direct selling establishments
N4543__,Direct selling establishments
N454___,Nonstore retailers
N481___,Air transportation
N482111,Line-haul railroads
N484110,"General freight trucking, local"
N48411_,"General freight trucking, local"
N48412_,"General freight trucking, long-distance"
N4841__,General freight trucking
N484210,Used household and office goods moving
N48421_,Used household and office goods moving
N484220,"Specialized freight (except used goods) trucking, local"
N48422_,"Specialized freight (except used goods) trucking, local"
N484230,"Specialized freight (except used goods) trucking, long-distance"
N48423_,"Specialized freight (except used goods) trucking, long-distance"
N4842__,Specialized freight trucking
N484___,Truck transportation
N491110,Postal service
N49111_,Postal service
N4911__,Postal service
N491___,Postal service
N492___,Couriers and messengers
N493110,General warehousing and storage
N49311_,General warehousing and storage
N493120,Refrigerated warehousing and storage
N49312_,Refrigerated warehousing and storage
N4931__,Warehousing and storage
N493___,Warehousing and storage
N511110,Newspaper publishers
N51111_,Newspaper publishers
N511120,Periodical publishers
N51112_,Periodical publishers
N511130,Book publishers
N51113_,Book publishers
N5111__,"Newspaper, periodical, book, and directory publishers"
N511210,Software publishers
N51121_,Software publishers
N5112__,Software publishers
N511___,Publishing industries (except internet)
N51213_,Motion picture and video exhibition
N51511_,Radio broadcasting
N5151__,Radio and television broadcasting
N515210,Cable and other subscription programming
N51521_,Cable and other subscription programming
N5152__,Cable and other subscription programming
N515___,Broadcasting (except internet)
N517311,Wired Telecommunications Carriers
N517312,Wireless Telecommunications Carriers (except Satellite)
N51731_,Wired and Wireless Telecommunications Carriers
N5173__,Wired and Wireless Telecommunications Carriers
N522110,Commercial banking
N52211_,Commercial banking
N532111,Passenger car rental
N532120,"Truck, utility trailer, and rv (recreational vehicle) rental and leasing"
N53212_,"Truck, utility trailer, and rv (recreational vehicle) rental and leasing"
N532282,Video Tape and Disc Rental
N541211,Offices of certified public accountants
N541213,Tax preparation services
N541219,Other accounting services
N54121_,"Accounting, tax preparation, bookkeeping, and payroll services"
N5412__,"Accounting, tax preparation, bookkeeping, and payroll services"
N541310,Architectural services
N54131_,Architectural services
N541330,Engineering services
N54133_,Engineering services
N541810,Advertising agencies
N54181_,Advertising agencies
N541921,"Photography studios, portrait"
N541940,Veterinary services
N54194_,Veterinary services
N56131_,Employment placement agencies and executive search services
N561510,Travel agencies
N56151_,Travel agencies
N5615__,Travel arrangement and reservation services
N561720,Janitorial services
N56172_,Janitorial services
N621511,Medical laboratories
N621512,Diagnostic imaging centers
N62151_,Medical and diagnostic laboratories
N6215__,Medical and diagnostic laboratories
N622A__,"Hospitals, except psychiatric and substance abuse hospitals"
N713110,Amusement and theme parks
N71311_,Amusement and theme parks
N7131__,Amusement parks and arcades
N7132__,Gambling industries
N713910,Golf courses and country clubs
N71391_,Golf courses and country clubs
N713940,Fitness and recreational sports centers
N71394_,Fitness and recreational sports centers
N713950,Bowling centers
N71395_,Bowling centers
N721110,Hotels (except casino hotels) and motels
N72111_,Hotels (except casino hotels) and motels
N7211__,Traveler accommodation
N721___,Accommodation
N7223__,Special food services
N722410,Drinking places (alcoholic beverages)
N72241_,Drinking places (alcoholic beverages)
N7224__,Drinking places (alcoholic beverages)
N722511,Full-service restaurants
N72251A,Limited-service eating places
N72251_,Restaurants and other eating places
N7225__,Restaurants and other eating places
N722___,Food services and drinking places
N72____,Accommodation and food services
N8111__,Automotive repair and maintenance
N811420,Reupholstery and furniture repair
N81142_,Reupholstery and furniture repair
N81211_,"Hair, nail, and skin care services"
N8121__,Personal care services
N812210,Funeral homes and funeral services
N81221_,Funeral homes and funeral services
N812310,Coin-operated laundries and drycleaners
N81231_,Coin-operated laundries and drycleaners
N812320,Drycleaning and laundry services (except coin-operated)
N81232_,Drycleaning and laundry services (except coin-operated)
N81233_,Linen and uniform supply
N8123__,Drycleaning and laundry services
N81292_,Photofinishing
